tweet_id,favorites,retweets,user_followers,user_favourites,date_time
822647212903690241,0,6528,8768045,145816,2017-01-21 03:29:14+00:00
822610361945911296,15060,3011,8768045,145816,2017-01-21 01:02:48+00:00
822489057087389700,18439,6528,8768045,145816,2017-01-20 17:00:46+00:00
822462944365645825,28532,14608,8768045,145816,2017-01-20 15:17:01+00:00
822244816520155136,35522,10062,8768045,145816,2017-01-20 00:50:15+00:00
822163064745328640,0,4874,8768045,145816,2017-01-19 19:25:24+00:00
821886076407029760,11506,2354,8768045,145816,2017-01-19 01:04:45+00:00
821813639212650496,0,3414,8768045,145816,2017-01-18 20:16:54+00:00
821765923262631936,8560,1687,8768045,145816,2017-01-18 17:07:18+00:00
821522889702862852,8164,1800,8768045,145816,2017-01-18 01:01:34+00:00
821421320206483457,0,5707,8768045,145816,2017-01-17 18:17:58+00:00
821407182352777218,11988,4432,8768045,145816,2017-01-17 17:21:47+00:00
821153421864615936,261,10,8768045,145816,2017-01-17 00:33:26+00:00
821149554670182400,8801,2031,8768045,145816,2017-01-17 00:18:04+00:00
821107785811234820,9758,2176,8768045,145816,2017-01-16 21:32:06+00:00
821044531881721856,12872,2323,8768045,145816,2017-01-16 17:20:45+00:00
820837357901512704,0,6867,8768045,145816,2017-01-16 03:37:31+00:00
820749716845686786,32101,10090,8768045,145816,2017-01-15 21:49:15+00:00
820690176645140481,12424,3293,8768045,145816,2017-01-15 17:52:40+00:00
820494788566847489,0,573,8768045,145816,2017-01-15 04:56:16+00:00
820446719150292993,0,2621,8768045,145816,2017-01-15 01:45:15+00:00
820314633777061888,3401,573,8768045,145816,2017-01-14 17:00:24+00:00
820078625395449857,20171,6417,8768045,145816,2017-01-14 01:22:35+00:00
820013781606658049,0,1202,8768045,145816,2017-01-13 21:04:55+00:00
819952236453363712,5419,1202,8768045,145816,2017-01-13 17:00:21+00:00
819924195358416896,13122,4964,8768045,145816,2017-01-13 15:08:56+00:00
819711362133872643,13646,3176,8768045,145816,2017-01-13 01:03:12+00:00
819588359383371776,9815,2030,8768045,145816,2017-01-12 16:54:26+00:00
819347104292290561,7358,1232,8768045,145816,2017-01-12 00:55:47+00:00
819238181065359361,2319,414,8768045,145816,2017-01-11 17:42:57+00:00
819227688460238848,23499,6867,8768045,145816,2017-01-11 17:01:16+00:00
819015337530290176,0,37609,8768045,145816,2017-01-11 02:57:27+00:00
819015331746349057,0,19331,8768045,145816,2017-01-11 02:57:26+00:00
819006400881917954,46100,19331,8768045,145816,2017-01-11 02:21:57+00:00
819004803107983360,88469,37609,8768045,145816,2017-01-11 02:15:36+00:00
818646164899774465,0,21446,8768698,145817,2017-01-10 02:30:30+00:00
818627210458333184,22807,7687,8768045,145816,2017-01-10 01:15:10+00:00
818614493328580609,10032,2619,8768045,145816,2017-01-10 00:24:38+00:00
818588835076603904,0,6281,8768045,145816,2017-01-09 22:42:41+00:00
818536468981415936,11110,2517,8768045,145816,2017-01-09 19:14:36+00:00
818307523543449600,0,8270,8768045,145816,2017-01-09 04:04:51+00:00
818259473185828864,11240,2324,8768045,145816,2017-01-09 00:53:55+00:00
818145370475810820,12529,2625,8768045,145816,2017-01-08 17:20:31+00:00
817908911860748288,4949,823,8768045,145816,2017-01-08 01:40:55+00:00
817827839487737858,52703,27646,8768045,145816,2017-01-07 20:18:46+00:00
817777686764523521,10945,2747,8768045,145816,2017-01-07 16:59:28+00:00
817536400337801217,11983,3033,8768045,145816,2017-01-07 01:00:41+00:00
817502432452313088,0,3470,8768045,145816,2017-01-06 22:45:43+00:00
817423860136083457,34544,15074,8768045,145816,2017-01-06 17:33:29+00:00
817415592588222464,5714,972,8768045,145816,2017-01-06 17:00:38+00:00
817181837579653120,0,8656,8768045,145816,2017-01-06 01:31:47+00:00
817171292965273600,8948,2069,8768045,145816,2017-01-06 00:49:53+00:00
817120970343411712,12449,2659,8768045,145816,2017-01-05 21:29:55+00:00
817056546584727552,8767,1679,8768045,145816,2017-01-05 17:13:55+00:00
816829038950027264,0,4817,8768045,145816,2017-01-05 02:09:53+00:00
816816676327063552,10224,2082,8768045,145816,2017-01-05 01:20:46+00:00
816697700272001025,10003,2243,8768045,145816,2017-01-04 17:27:59+00:00
816450570814898180,31099,8270,8768045,145816,2017-01-04 01:05:59+00:00
816336735214911488,8782,1990,8768045,145816,2017-01-03 17:33:39+00:00
816091915477250048,9106,2192,8768045,145816,2017-01-03 01:20:49+00:00
816062466425819140,0,1049,8768045,145816,2017-01-02 23:23:48+00:00
816014286006976512,0,5399,8768045,145816,2017-01-02 20:12:21+00:00
815990720817401858,5062,1049,8768045,145816,2017-01-02 18:38:42+00:00
815966073409433600,22862,8656,8768045,145816,2017-01-02 17:00:46+00:00
815745968457060357,0,4238,8768045,145816,2017-01-02 02:26:09+00:00
815736392542261248,10055,2324,8768045,145816,2017-01-02 01:48:06+00:00
815639385530101762,8397,1684,8768045,145816,2017-01-01 19:22:38+00:00
815390420867969024,10586,3893,8768045,145816,2017-01-01 02:53:20+00:00
814986499976527872,7814,1310,8768045,145816,2016-12-31 00:08:17+00:00
814638523311648768,11504,2768,8768045,145816,2016-12-30 01:05:33+00:00
814578408554463233,0,5969,8768045,145816,2016-12-29 21:06:41+00:00
814530161257443328,8831,1909,8768045,145816,2016-12-29 17:54:58+00:00
814153002265309185,29406,8891,8768045,145816,2016-12-28 16:56:16+00:00
813944609378369540,0,3256,8768045,145816,2016-12-28 03:08:11+00:00
813910438903693312,9503,1915,8768045,145816,2016-12-28 00:52:25+00:00
813812741911748608,37208,14323,8768045,145816,2016-12-27 18:24:12+00:00
813800681631023104,8502,1809,8768045,145816,2016-12-27 17:36:16+00:00
813217897535406080,19048,7477,8768045,145816,2016-12-26 03:00:30+00:00
813202720496779264,9440,1850,8768045,145816,2016-12-26 02:00:11+00:00
813187593374461952,20328,4470,8768045,145816,2016-12-26 01:00:05+00:00
813172488309972993,9485,1977,8768045,145816,2016-12-26 00:00:03+00:00
813157409116065792,7950,2269,8768045,145816,2016-12-25 23:00:08+00:00
813142292504645637,8659,2439,8768045,145816,2016-12-25 22:00:04+00:00
813130366689148928,4583,458,8768045,145816,2016-12-25 21:12:41+00:00
813127251579564032,12127,3208,8768045,145816,2016-12-25 21:00:18+00:00
813112105746448384,10552,2807,8768045,145816,2016-12-25 20:00:07+00:00
